serving at :8080
Sending the following: humidity: 48.799999 	 temp: 75.000000 	 time: 2215 
humidity: 47.400002 	 temp: 75.900002 	 time: 2330 
humidity: 48.299999 	 temp: 77.000000 	 time: 0 
humidity: 48.599998 	 temp: 77.699997 	 time: 30 
humidity: 49.000000 	 temp: 76.800003 	 time: 100 
humidity: 49.000000 	 temp: 76.800003 	 time: 130 
humidity: 49.700001 	 temp: 76.099998 	 time: 200 
humidity: 50.799999 	 temp: 75.699997 	 time: 230 
humidity: 49.799999 	 temp: 75.000000 	 time: 300 
humidity: 52.599998 	 temp: 75.699997 	 time: 330 
humidity: 52.500000 	 temp: 75.599998 	 time: 400 
humidity: 51.700001 	 temp: 75.199997 	 time: 430 
humidity: 53.500000 	 temp: 75.199997 	 time: 500 
humidity: 53.000000 	 temp: 75.000000 	 time: 530 
humidity: 53.000000 	 temp: 75.000000 	 time: 600 
humidity: 54.400002 	 temp: 74.800003 	 time: 630 
humidity: 54.400002 	 temp: 74.800003 	 time: 700 
humidity: 51.799999 	 temp: 73.900002 	 time: 730 
humidity: 54.500000 	 temp: 74.800003 	 time: 800 
humidity: 53.200001 	 temp: 75.400002 	 time: 830 
humidity: 54.599998 	 temp: 74.800003 	 time: 900 
humidity: 52.500000 	 temp: 74.300003 	 time: 930 
humidity: 56.000000 	 temp: 75.000000 	 time: 1000 
humidity: 53.299999 	 temp: 74.500000 	 time: 1030 
humidity: 53.299999 	 temp: 74.500000 	 time: 1100 
humidity: 56.599998 	 temp: 74.800003 	 time: 1130 
humidity: 54.700001 	 temp: 74.800003 	 time: 1200 
humidity: 52.799999 	 temp: 74.099998 	 time: 1230 
humidity: 56.000000 	 temp: 75.400002 	 time: 1300 
humidity: 55.000000 	 temp: 75.599998 	 time: 1330 
humidity: 54.299999 	 temp: 75.900002 	 time: 1400 
humidity: 54.299999 	 temp: 76.099998 	 time: 1430 
humidity: 52.000000 	 temp: 75.000000 	 time: 1500 
humidity: 51.200001 	 temp: 76.800003 	 time: 1530 
humidity: 51.200001 	 temp: 76.800003 	 time: 1600 
humidity: 51.299999 	 temp: 77.000000 	 time: 1630 
humidity: 51.500000 	 temp: 77.000000 	 time: 1700 
Sending the following: humidity: 48.799999 	 temp: 75.000000 	 time: 2215 
humidity: 47.400002 	 temp: 75.900002 	 time: 2330 
humidity: 48.299999 	 temp: 77.000000 	 time: 0 
humidity: 48.599998 	 temp: 77.699997 	 time: 30 
humidity: 49.000000 	 temp: 76.800003 	 time: 100 
humidity: 49.000000 	 temp: 76.800003 	 time: 130 
humidity: 49.700001 	 temp: 76.099998 	 time: 200 
